thread1,thread2
0.281343352,0.28178524
0.282343611,0.282784259
0.283343871,0.283784129
0.28434326,0.284784851
0.285343408,0.285785092
0.286343371,0.286784999
0.287343074,0.287784592
0.288343352,0.288784462
0.289343426,0.289784425
0.290343445,0.290785407
0.291343389,0.291784759
0.292343963,0.292784018
0.293343334,0.29378474
0.294343556,0.294784666
0.295343334,0.295785647
0.296343723,0.29678524
0.297344167,0.297785759
0.298343704,0.298785259
0.299344334,0.299784999
0.300343482,0.300785314
0.301343723,0.301784981
0.302343297,0.302785296
0.303343426,0.30378537
0.304343685,0.304785647
0.3053435,0.305785814
0.306343704,0.306785573
0.307344056,0.307786147
0.308343519,0.308785259
0.309343797,0.309784981
0.310343389,0.310785685
0.311343574,0.311785518
0.312344,0.312785685
0.313343852,0.313785481
0.314344297,0.314785592
0.315343593,0.315785962
0.316344223,0.316786185
0.317344537,0.31778511
0.318343889,0.318784685
0.319343797,0.319784722
0.320343519,0.320785351
0.321343908,0.321785166
0.322343926,0.322785536
0.323343426,0.323784907
0.324343593,0.324785981
0.325343297,0.325786166
0.32634413,0.326785277
0.327343908,0.327784499
0.32834376,0.328785592
0.329343389,0.32978474
0.330343982,0.33078511
0.331343519,0.331785444
0.332343352,0.332785536
0.333343371,0.333785259
0.334344056,0.334785666
0.335343685,0.335784944
0.3363435,0.336784962
0.337343204,0.337789259
0.338343685,0.338787999
0.339347,0.339786425
0.340344,0.340786407
0.341344519,0.341784981
0.342344037,0.342784888
0.343343463,0.343784499
0.344343352,0.344785444
0.345343482,0.345786462
0.346343408,0.346785481
0.347343834,0.347786203
0.348343537,0.348785851
0.349343852,0.349785351
0.35034376,0.35078661
0.351343982,0.351785796
0.352344408,0.352785129
0.353343648,0.353785944
0.354343167,0.354784999
0.355343871,0.355783944
0.356343556,0.356784814
0.357343297,0.357784981
0.358343556,0.358784907
0.359343574,0.359786962
0.360343463,0.360784962
0.36134413,0.361785629
0.362343408,0.362785647
0.363343593,0.363784962
0.364343445,0.364785388
0.365343371,0.365785555
0.366343426,0.366785722
0.367344148,0.367785166
0.368344,0.368785703
0.369343519,0.369786944
0.370344019,0.37078561
0.371344222,0.371786481
0.372344167,0.37278561
0.373343722,0.373786481
0.374343889,0.374785536
0.375343889,0.37578674
0.376343945,0.376785259
0.377345278,0.377788851
0.378343834,0.378785907
0.379345963,0.379787684
0.3803435,0.380785814
0.381344593,0.381785888
0.382343167,0.382786573
0.383344111,0.383785925
0.384343908,0.384786259
0.385344019,0.385785796
0.386343926,0.386786203
0.387343111,0.387785647
0.388343778,0.388786259
0.38934376,0.38978561
0.390343611,0.390786184
0.391343222,0.39178537
0.3923435,0.392786629
0.393343704,0.393785259
0.394343889,0.39478561
0.395343593,0.395786259
0.39634363,0.396785629
0.397343537,0.397785555
0.398343593,0.398786184
0.399343574,0.39978574
0.400343963,0.400785759
0.401344352,0.401786962
0.402343797,0.402786907
0.403344352,0.403786703
0.404344,0.404785499
0.405343908,0.405785333
0.406343463,0.406786351
0.407343704,0.407786166
0.408343611,0.40878661
0.409343889,0.409786351
0.410343704,0.410786184
0.411343926,0.411785703
0.412343667,0.412786296
0.413343871,0.413785981
0.414344482,0.414785925
0.415343482,0.415786721
0.416343445,0.41678661
0.417344074,0.417785092
0.418343908,0.418785092
0.419343315,0.41978537
0.420343482,0.42078511
0.421343574,0.421785796
0.422343259,0.422785203
0.4233435,0.423786203
0.424343445,0.424785888
0.425344,0.425786129
0.426343426,0.42678637
0.427343482,0.427786166
0.428343815,0.42878637
0.429343185,0.429785666
0.430343797,0.430785166
0.4313435,0.431786092
0.432343593,0.43278587
0.433343482,0.433785277
0.434343982,0.434785629
0.435343685,0.435785647
0.436344019,0.436784888
0.437343482,0.437785425
0.43834363,0.438785388
0.439343204,0.43978424
0.440343352,0.440785184
0.441343093,0.441784721
0.442343759,0.442784981
0.443343556,0.443786184
0.444343593,0.444785592
0.445344185,0.445785851
0.446343667,0.446784425
0.447343834,0.44778587
0.448343334,0.448785073
0.449343519,0.449785721
0.450343389,0.450786221
0.451343519,0.451785666
0.452343778,0.452785962
0.453344019,0.45378624
0.454343722,0.454785981
0.455343278,0.455785666
0.456343778,0.456786184
0.457343611,0.457785055
0.458343278,0.458784759
0.459343426,0.459784777
0.460343463,0.46078474
0.461343759,0.46178511
0.462343408,0.462785592
0.463342982,0.463784925
0.464343167,0.46478487
0.465343482,0.465784851
0.4663435,0.466785073
0.467343389,0.46778461
0.468343204,0.468784758
0.469343148,0.46978587
0.470343315,0.470785055
0.471343019,0.471784907
0.47234313,0.472785184
0.473343463,0.473786388
0.474343389,0.47478574
0.475343778,0.475786851
0.476343871,0.476785981
0.477343852,0.477784647
0.478344,0.478784999
0.479343259,0.479786555
0.480343482,0.480785092
0.481345056,0.481785647
0.482343408,0.482786444
0.4833435,0.483786481
0.48434513,0.484785333
0.485344704,0.485784907
0.486343741,0.486784684
0.487343667,0.487784592
0.488342945,0.488787721
